name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
20_200_74,20,200,420,18165.6,18165.6,18165.6,35932,34131,34131,1.87888,1.97561,
20_200_75,20,200,420,17129.8,17129.8,17129.8,33873,32594,32594,1.90277,1.97561,
20_200_76,20,200,420,18128.8,18128.8,18128.8,35852,34354,34354,1.89499,1.97561,
20_200_77,20,200,420,16827.5,16827.5,16827.5,33286,31585,31585,1.87699,1.97561,
20_200_78,20,200,420,17331.7,17331.7,17331.7,34273,32950,32950,1.90114,1.97561,
20_200_79,20,200,420,16817.9,16817.9,16817.9,33263,31731,31731,1.88674,1.97561,
20_200_80,20,200,420,16955.7,16955.7,16955.7,33535,32012,32012,1.88798,1.97561,
20_200_81,20,200,420,17231.2,17231.2,17231.2,34068,33004,33004,1.91537,1.97561,
20_200_82,20,200,420,17683,17683,17683,34980,33127,33127,1.87338,1.97561,
20_200_83,20,200,420,17201.8,17201.8,17201.8,34020,32545,32545,1.89195,1.97561,
20_200_84,20,200,420,17957,17957,17957,35515,33914,33914,1.88863,1.97561,
20_200_85,20,200,420,18406.4,18406.4,18406.4,36409,34562,34562,1.87771,1.97561,
20_200_86,20,200,420,17095.3,17095.3,17095.3,33803,32602,32602,1.90707,1.97561,
20_200_87,20,200,420,17378.2,17378.2,17378.2,34364,33073,33073,1.90313,1.97561,
20_200_88,20,200,420,17130.4,17130.4,17130.4,33871,32726,32726,1.9104,1.97561,
20_200_89,20,200,420,17013,17013,17013,33629,32895,32895,1.93352,1.97561,
20_200_90,20,200,420,17751.9,17751.9,17751.9,35113,33384,33384,1.88059,1.97561,
20_200_91,20,200,420,18549.3,18549.3,18549.3,36683,35174,35174,1.89624,1.97561,
20_200_92,20,200,420,17526.1,17526.1,17526.1,34648,33691,33691,1.92234,1.97561,
20_200_93,20,200,420,16771.9,16771.9,16771.9,33164,31967,31967,1.90598,1.97561,
20_200_94,20,200,420,17898.6,17898.6,17898.6,35379,34623,34623,1.9344,1.97561,
20_200_95,20,200,420,17189,17189,17189,33977,33226,33226,1.93298,1.97561,
20_200_96,20,200,420,17108.8,17108.8,17108.8,33821,32970,32970,1.92708,1.97561,
20_200_97,20,200,420,16753.4,16753.4,16753.4,33140,31424,31424,1.87568,1.97561,
20_200_98,20,200,420,17929.6,17929.6,17929.6,35461,33860,33860,1.88849,1.97561,
20_200_99,20,200,420,16884.4,16884.4,16884.4,33388,32119,32119,1.90228,1.97561,
20_400_0,20,400,820,35581.9,35581.9,35581.9,70359,67773,67773,1.9047,1.97561,
20_400_1,20,400,820,34468.6,34468.6,34468.6,68161,65520,65520,1.90086,1.97561,
20_400_2,20,400,820,33502.5,33502.5,33502.5,66270,62901,62901,1.8775,1.97561,
20_400_3,20,400,820,34733.2,34733.2,34733.2,68675,66392,66392,1.91148,1.97561,
20_400_4,20,400,820,34980.6,34980.6,34980.6,69175,66425,66425,1.89891,1.97561,
20_400_5,20,400,820,35130,35130,35130,69463,67011,67011,1.90751,1.97561,
20_400_6,20,400,820,35170.3,35170.3,35170.3,69566,66158,66158,1.88107,1.97561,
20_400_7,20,400,820,34462.7,34462.7,34462.7,68133,66156,66156,1.91964,1.97561,
20_400_8,20,400,820,35735.3,35735.3,35735.3,70672,67682,67682,1.89398,1.97561,
20_400_9,20,400,820,35379.2,35379.2,35379.2,69974,66757,66757,1.8869,1.97561,
20_400_10,20,400,820,34751.7,34751.7,34751.7,68701,66849,66849,1.92362,1.97561,
20_400_11,20,400,820,33286.3,33286.3,33286.3,65825,63194,63194,1.8985,1.97561,
20_400_12,20,400,820,33311.8,33311.8,33311.8,65880,63054,63054,1.89284,1.97561,
20_400_13,20,400,820,33777,33777,33777,66793,64217,64217,1.9012,1.97561,
20_400_14,20,400,820,34799.2,34799.2,34799.2,68801,66694,66694,1.91654,1.97561,
20_400_15,20,400,820,34281.6,34281.6,34281.6,67798,64891,64891,1.89288,1.97561,
20_400_16,20,400,820,34869,34869,34869,68955,66192,66192,1.8983,1.97561,
